"Obs","doby","male","Ownssb_P50"
"1","1936-1945","1.Male",20781.46
"2","1946-1955","1.Male",21768.14
"3","1956-1965","1.Male",22182.16
"4","1966-1975","1.Male",24561.40
"5","1976-1985","1.Male",25953.40
"6","1986-1995","1.Male",28811.69
"7","1996-2005","1.Male",32490.07
"8","2006-2015","1.Male",35739.91
"9","1936-1945","2.Female",13090.34
"10","1946-1955","2.Female",15047.10
"11","1956-1965","2.Female",15991.95
"12","1966-1975","2.Female",18719.05
"13","1976-1985","2.Female",22015.76
"14","1986-1995","2.Female",23974.57
"15","1996-2005","2.Female",27116.81
"16","2006-2015","2.Female",30069.02

