"Obs","doby","male","lifetime_earn_P50"
"1","1936-1945",,1038701.13
"2","1946-1955",,1308037.64
"3","1956-1965",,1285215.79
"4","1966-1975",,1433679.78
"5","1976-1985",,1579022.90
"6","1986-1995",,1736849.48
"7","1996-2005",,1938326.11
"8","2006-2015",,2169682.28
"9","1936-1945","1.Male",1915310.79
"10","1946-1955","1.Male",1925304.28
"11","1956-1965","1.Male",1816603.98
"12","1966-1975","1.Male",1843152.36
"13","1976-1985","1.Male",1853246.80
"14","1986-1995","1.Male",2068098.56
"15","1996-2005","1.Male",2266984.28
"16","2006-2015","1.Male",2527664.80
"17","1936-1945","2.Female",579261.07
"18","1946-1955","2.Female",825557.02
"19","1956-1965","2.Female",918501.58
"20","1966-1975","2.Female",1087524.58
"21","1976-1985","2.Female",1325938.45
"22","1986-1995","2.Female",1430264.49
"23","1996-2005","2.Female",1655547.18
"24","2006-2015","2.Female",1837642.48

