"Obs","doby","poverty_status_Mean","poverty_status_payable_Mean"
"1",,0.060788,0.074333
"2","1936-1945",0.072805,0.072805
"3","1946-1955",0.063441,0.063441
"4","1956-1965",0.068318,0.074162
"5","1966-1975",0.061618,0.087728
"6","1976-1985",0.061485,0.081418
"7","1986-1995",0.054184,0.074659
"8","1996-2005",0.056725,0.073455
"9","2006-2015",0.055716,0.066987

