"Obs","doby","ann_payable_reprate","count_PctSum_10_count"
"1","1936-1945","0-50%",12.559
"2","1946-1955","0-50%",11.764
"3","1956-1965","0-50%",11.851
"4","1966-1975","0-50%",18.850
"5","1976-1985","0-50%",20.866
"6","1986-1995","0-50%",22.000
"7","1996-2005","0-50%",24.734
"8","2006-2015","0-50%",25.547
"9","1936-1945","50-75%",13.556
"10","1946-1955","50-75%",13.945
"11","1956-1965","50-75%",14.588
"12","1966-1975","50-75%",18.688
"13","1976-1985","50-75%",19.310
"14","1986-1995","50-75%",19.995
"15","1996-2005","50-75%",19.589
"16","2006-2015","50-75%",19.635
"17","1936-1945","75-80%",3.056
"18","1946-1955","75-80%",3.201
"19","1956-1965","75-80%",3.346
"20","1966-1975","75-80%",3.749
"21","1976-1985","75-80%",3.478
"22","1986-1995","75-80%",3.578
"23","1996-2005","75-80%",3.388
"24","2006-2015","75-80%",3.325
"25","1936-1945","80-85%",2.724
"26","1946-1955","80-85%",2.953
"27","1956-1965","80-85%",3.072
"28","1966-1975","80-85%",3.294
"29","1976-1985","80-85%",3.542
"30","1986-1995","80-85%",3.267
"31","1996-2005","80-85%",3.132
"32","2006-2015","80-85%",3.315
"33","1936-1945","85-90%",2.880
"34","1946-1955","85-90%",3.452
"35","1956-1965","85-90%",3.253
"36","1966-1975","85-90%",3.395
"37","1976-1985","85-90%",3.451
"38","1986-1995","85-90%",2.949
"39","1996-2005","85-90%",3.003
"40","2006-2015","85-90%",3.216
"41","1936-1945","90-95%",2.699
"42","1946-1955","90-95%",2.951
"43","1956-1965","90-95%",2.995
"44","1966-1975","90-95%",3.436
"45","1976-1985","90-95%",2.815
"46","1986-1995","90-95%",2.801
"47","1996-2005","90-95%",2.878
"48","2006-2015","90-95%",3.037
"49","1936-1945","95-100%",2.653
"50","1946-1955","95-100%",3.277
"51","1956-1965","95-100%",2.921
"52","1966-1975","95-100%",2.983
"53","1976-1985","95-100%",2.950
"54","1986-1995","95-100%",2.909
"55","1996-2005","95-100%",2.645
"56","2006-2015","95-100%",2.812
"57","1936-1945","100-150%",21.228
"58","1946-1955","100-150%",23.399
"59","1956-1965","100-150%",24.410
"60","1966-1975","100-150%",20.989
"61","1976-1985","100-150%",20.664
"62","1986-1995","100-150%",20.131
"63","1996-2005","100-150%",18.959
"64","2006-2015","100-150%",18.918
"65","1936-1945","150-200%",12.908
"66","1946-1955","150-200%",13.356
"67","1956-1965","150-200%",13.841
"68","1966-1975","150-200%",10.160
"69","1976-1985","150-200%",9.915
"70","1986-1995","150-200%",9.477
"71","1996-2005","150-200%",9.320
"72","2006-2015","150-200%",8.911
"73","1936-1945","200%+",25.738
"74","1946-1955","200%+",21.701
"75","1956-1965","200%+",19.723
"76","1966-1975","200%+",14.456
"77","1976-1985","200%+",13.009
"78","1986-1995","200%+",12.893
"79","1996-2005","200%+",12.353
"80","2006-2015","200%+",11.285
"81","1936-1945",,100.000
"82","1946-1955",,100.000
"83","1956-1965",,100.000
"84","1966-1975",,100.000
"85","1976-1985",,100.000
"86","1986-1995",,100.000
"87","1996-2005",,100.000
"88","2006-2015",,100.000

