"Obs","doby","ncharts_aftertax_income_P50"
"1","1936-1945",35611.41
"2","1946-1955",39309.87
"3","1956-1965",38352.91
"4","1966-1975",40542.22
"5","1976-1985",42852.99
"6","1986-1995",46378.71
"7","1996-2005",50351.36
"8","2006-2015",55285.57

